,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
0,5.3,9.7,28.8,21.5,0.6025195,0.74662,0.5266666666666667,1534.0
8,4.6,14.1,32.0,22.7,0.6773239999999999,0.64769,0.56,1485.0
16,2.9,17.0,25.9,14.6,0.6500625,0.77147,0.5566666666666666,1583.0
23,9.5,16.1,20.9,6.3,0.7351675,0.81211,0.49,1709.0
33,12.4,11.1,20.7,10.3,0.6158305000000001,0.66493,0.4766666666666667,1749.0
43,11.3,13.2,22.8,10.3,0.643383,0.76355,0.48666666666666664,1655.0
50,10.2,14.2,35.5,25.6,0.6258875,0.76386,0.6033333333333334,1488.0
60,5.7,9.6,23.8,15.2,0.6592675,0.69481,0.5766666666666667,1470.0
64,7.2,16.3,34.8,23.8,0.702327,0.67547,0.44333333333333336,1399.0
66,10.9,12.2,36.4,25.5,0.7476175,0.78757,0.51,1507.0
74,9.6,16.0,22.7,7.8,0.7848965,0.7941,0.41000000000000003,1688.0
78,2.4,12.0,22.1,13.5,0.6131439999999999,0.63183,0.4666666666666667,1619.0
84,3.0,19.4,31.7,15.6,0.6426445,0.71691,0.61,1513.0
89,16.5,5.7,14.3,6.5,0.5844635,0.85241,0.64,1781.0
99,4.1,17.7,35.2,23.8,0.6110455,0.71078,0.63,1551.0
106,6.8,14.9,26.7,15.2,0.7368995,0.74345,0.59,1577.0
115,48.0,22.0,73.1,61.4,0.9612445,0.8879,0.56,1179.0
120,35.8,13.4,55.3,43.6,0.9612445,0.8879,0.48666666666666664,1299.0
122,61.0,22.0,77.2,56.0,0.9612445,0.8879,0.55,1217.0
123,100.0,4.2,99.5,60.3,0.9612445,0.8879,0.51,965.0
124,32.7,2.1,20.8,15.7,0.9612445,0.8879,0.86,1890.0
125,41.6,2.9,36.6,31.7,0.9612445,0.8879,0.5966666666666666,1610.0
127,59.3,23.8,86.2,61.0,0.9612445,0.8879,0.5933333333333334,1101.0
131,61.9,25.3,87.4,62.9,0.9612445,0.8879,0.5066666666666666,1128.0
134,45.8,36.2,86.6,66.8,0.9612445,0.8879,0.5533333333333333,1051.0
