,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
0,5.3,9.7,28.8,21.5,12050.39,74662.0,15.8,1534.0
8,4.6,14.1,32.0,22.7,13546.48,64769.0,16.8,1485.0
16,2.9,17.0,25.9,14.6,13001.25,77147.0,16.7,1583.0
23,9.5,16.1,20.9,6.3,14703.35,81211.0,14.7,1709.0
33,12.4,11.1,20.7,10.3,12316.61,66493.0,14.3,1749.0
43,11.3,13.2,22.8,10.3,12867.66,76355.0,14.6,1655.0
50,10.2,14.2,35.5,25.6,12517.75,76386.0,18.1,1488.0
60,5.7,9.6,23.8,15.2,13185.35,69481.0,17.3,1470.0
64,7.2,16.3,34.8,23.8,14046.54,67547.0,13.3,1399.0
66,10.9,12.2,36.4,25.5,14952.35,78757.0,15.3,1507.0
74,9.6,16.0,22.7,7.8,15697.93,79410.0,12.3,1688.0
78,2.4,12.0,22.1,13.5,12262.88,63183.0,14.0,1619.0
84,3.0,19.4,31.7,15.6,12852.89,71691.0,18.3,1513.0
89,16.5,5.7,14.3,6.5,11689.27,85241.0,19.2,1781.0
99,4.1,17.7,35.2,23.8,12220.91,71078.0,18.9,1551.0
106,6.8,14.9,26.7,15.2,14737.99,74345.0,17.7,1577.0
115,48.0,22.0,73.1,61.4,19224.89,88790.0,16.8,1179.0
120,35.8,13.4,55.3,43.6,19224.89,88790.0,14.6,1299.0
122,61.0,22.0,77.2,56.0,19224.89,88790.0,16.5,1217.0
123,100.0,4.2,99.5,60.3,19224.89,88790.0,15.3,965.0
124,32.7,2.1,20.8,15.7,19224.89,88790.0,25.8,1890.0
125,41.6,2.9,36.6,31.7,19224.89,88790.0,17.9,1610.0
127,59.3,23.8,86.2,61.0,19224.89,88790.0,17.8,1101.0
131,61.9,25.3,87.4,62.9,19224.89,88790.0,15.2,1128.0
134,45.8,36.2,86.6,66.8,19224.89,88790.0,16.6,1051.0
142,33.3,34.3,77.8,72.7,19224.89,88790.0,10.7,1162.0
145,25.1,42.6,80.4,54.7,19224.89,88790.0,17.1,1006.0
148,76.7,15.4,80.2,46.0,19224.89,88790.0,17.7,1188.0
153,53.9,27.4,84.4,64.6,19224.89,88790.0,17.0,1109.0
154,50.8,19.7,66.9,48.3,19224.89,88790.0,21.9,1222.0
158,55.1,12.9,75.1,60.0,19224.89,88790.0,15.3,1117.0
172,49.7,12.1,82.6,61.1,19224.89,88790.0,18.2,1082.0
188,34.1,41.3,78.6,49.2,19224.89,88790.0,11.9,1164.0
189,57.1,34.8,87.9,68.1,19224.89,88790.0,11.7,1056.0
